trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,break_text.started,break_text.stopped,postbreak_text.started,postbreak_text.stopped,fixation1.started,fixation1.stopped,dots_stimulus.started,dots_stimulus.stopped,blackout.started,blackout.stopped,red_dot.started,red_dot.stopped,fixation2.started,fixation2.stopped,pursuit_or_saccade_dot.started,pursuit_or_saccade_dot.stopped,response.keys,response.rt,response.started,response.stopped,coh,dir,response,correct,pursuit_saccade_isLeft,congruent,pupil_timestamp,psychopy_timestamp,participant,trials_per_condition,pursuit_or_saccade,practice_version,break_every_n_trials,pupil_on,date,expName,psychopyVersion,frameRate,
0,0,0,0,None,None,None,None,21.34307709999848,22.352336099997046,22.352336099997046,22.652871599995706,22.352336099997046,22.652871599995706,21.34307709999848,23.6709081999943,22.652871599995706,23.6541145999945,23.6541145999945,24.804983899994113,right,1.6435222000000067,24.804983899994113,None,1.0,0.0,0,1,1.0,0,-1,20.3159375599811,,90,1,1,30,0,2021_Feb_10_1504,testDots,2020.2.5,60.016588584761834,
1,0,1,0,None,None,None,None,27.495412899996154,28.508617499996035,28.508617499996035,28.80902399999468,28.508617499996035,28.80902399999468,27.495412899996154,29.826822899995022,28.80902399999468,29.809594899998046,29.809594899998046,30.961529299995163,left,0.7434395000018412,30.961529299995163,None,0.95,180.0,180,1,0.0,0,-1,26.490029259998117,,90,1,1,30,0,2021_Feb_10_1504,testDots,2020.2.5,60.016588584761834,
2,0,2,0,None,None,None,None,32.75000359999831,33.763468099998136,33.763468099998136,34.063828999998805,33.763468099998136,34.063828999998805,32.75000359999831,35.08225689999381,34.063828999998805,35.06493779999437,35.06493779999437,36.21613849999994,right,0.6725535999939893,36.21613849999994,None,0.9,0.0,0,1,0.0,1,-1,31.74601795999333,,90,1,1,30,0,2021_Feb_10_1504,testDots,2020.2.5,60.016588584761834,
3,0,3,0,None,None,None,None,37.937359699993976,38.95201629999792,38.95201629999792,39.25299069999892,38.95201629999792,39.25299069999892,37.937359699993976,40.27023119999649,39.25299069999892,40.25348359999771,40.25348359999771,41.40479190000042,left,0.5557629999966593,41.40479190000042,None,0.85,180.0,180,1,1.0,1,-1,36.933747059998865,,90,1,1,30,0,2021_Feb_10_1504,testDots,2020.2.5,60.016588584761834,
4,0,4,0,None,None,None,None,43.010487199993804,44.02392339999642,44.02392339999642,44.3241577000008,44.02392339999642,44.3241577000008,43.010487199993804,45.34259979999479,44.3241577000008,45.325159499996516,45.325159499996516,46.47679299999436,right,0.35585770000034245,46.47679299999436,None,0.8,0.0,0,1,1.0,0,-1,42.005521359997516,,90,1,1,30,0,2021_Feb_10_1504,testDots,2020.2.5,60.016588584761834,
5,0,5,0,None,None,None,None,47.88076000000001,48.89545889999863,48.89545889999863,49.196439200000896,48.89545889999863,49.196439200000896,47.88076000000001,50.21324919999461,49.196439200000896,50.19715219999489,50.19715219999489,51.348234400000365,left,0.32413329999690177,51.348234400000365,None,0.48,180.0,180,1,1.0,1,-1,46.87657405999781,,90,1,1,30,0,2021_Feb_10_1504,testDots,2020.2.5,60.016588584761834,
6,0,6,0,None,None,None,None,52.71783879999566,53.73336859999836,53.73336859999836,54.033729399998265,53.73336859999836,54.033729399998265,52.71783879999566,55.051336399999855,54.033729399998265,55.03528430000006,55.03528430000006,56.185867399995914,left,0.334538999995857,56.185867399995914,None,0.24,0.0,180,0,1.0,0,-1,51.714515359998046,,90,1,1,30,0,2021_Feb_10_1504,testDots,2020.2.5,60.016588584761834,
7,0,7,0,None,None,None,None,57.557105499996396,58.5726824999947,58.5726824999947,58.872705299996596,58.5726824999947,58.872705299996596,57.557105499996396,59.8897106000004,58.872705299996596,59.873130299994955,59.873130299994955,61.02467909999541,right,0.6318313000010676,61.02467909999541,None,0.12,0.0,0,1,0.0,1,-1,56.55271405999375,,90,1,1,30,0,2021_Feb_10_1504,testDots,2020.2.5,60.016588584761834,
8,0,8,0,None,None,None,None,62.696794199997385,63.710232299999916,63.710232299999916,64.01212079999823,63.710232299999916,64.01212079999823,62.696794199997385,65.02851809999993,64.01212079999823,65.01139459999831,65.01139459999831,66.1631877999971,right,0.733594199999061,66.1631877999971,None,0.06,180.0,0,0,0.0,0,-1,61.69227595999692,,90,1,1,30,0,2021_Feb_10_1504,testDots,2020.2.5,60.016588584761834,
9,0,9,0,None,None,None,None,67.93297660000098,68.93220339999971,68.93220339999971,69.23332389999996,68.93220339999971,69.23332389999996,67.93297660000098,70.25013279999985,69.23332389999996,70.23407759999827,70.23407759999827,71.38494530000025,left,0.5197852000055718,71.38494530000025,None,0.03,0.0,180,0,0.0,1,-1,66.93003495999292,,90,1,1,30,0,2021_Feb_10_1504,testDots,2020.2.5,60.016588584761834,
