trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,break_text.started,break_text.stopped,postbreak_text.started,postbreak_text.stopped,fixation1.started,fixation1.stopped,dots_stimulus.started,dots_stimulus.stopped,blackout.started,blackout.stopped,red_dot.started,red_dot.stopped,fixation2.started,fixation2.stopped,pursuit_or_saccade_dot.started,pursuit_or_saccade_dot.stopped,response.keys,response.rt,response.started,response.stopped,coh,dir,correct,pursuit_saccade_isLeft,congruent,pupil_timestamp,psychopy_timestamp,participant,trials_per_condition,pursuit_or_saccade,practice_version,break_every_n_trials,pupil_on,date,expName,psychopyVersion,frameRate,
0,0,0,0,None,None,None,None,12.83896029999596,13.844890499996836,13.844890499996836,18.849844500000472,13.844890499996836,18.849844500000472,12.83896029999596,19.867538999998942,18.849844500000472,19.850943499986897,19.850943499986897,21.00217849999899,left,1.1384568000066793,21.00217849999899,None,0.03,180.0,0,1.0,1,-1,11.8262060799927,,1,1,0,2,0,2021_Feb_09_2054,testDots,2020.2.5,59.971561485428595,
1,0,1,0,None,None,None,None,23.18645799999649,24.188625700000557,24.188625700000557,29.19364029999997,24.188625700000557,29.19364029999997,23.18645799999649,30.211291499988874,29.19364029999997,30.19457639999746,30.19457639999746,31.34577889999491,left,1.8189317000069423,31.34577889999491,None,0.48,0.0,0,1.0,0,-1,22.18651501999993,,1,1,0,2,0,2021_Feb_09_2054,testDots,2020.2.5,59.971561485428595,
2,0,2,0,33.195106299986946,35.066964799989364,35.066964799989364,39.057268899996416,39.057268899996416,40.07122489999165,40.07122489999165,45.07614529998682,40.07122489999165,45.07614529998682,39.057268899996416,46.09372319999966,45.07614529998682,46.077246999993804,46.077246999993804,47.22825759999978,left,0.3122923000046285,47.22825759999978,None,0.06,0.0,0,1.0,0,-1,33.197588619991436,,1,1,0,2,0,2021_Feb_09_2054,testDots,2020.2.5,59.971561485428595,
3,0,3,0,None,None,None,None,48.575284399994416,49.580731499998365,49.580731499998365,54.58623629999056,49.580731499998365,54.58623629999056,48.575284399994416,55.603354699997,54.58623629999056,55.58667259999493,55.58667259999493,56.73819079999521,left,0.3224160999961896,56.73819079999521,None,0.24,0.0,0,1.0,0,-1,47.578564119988,,1,1,0,2,0,2021_Feb_09_2054,testDots,2020.2.5,59.971561485428595,
4,0,4,0,57.102037999997265,58.70639239999582,58.70639239999582,62.69736749998992,62.69736749998992,63.71148479999101,63.71148479999101,68.71643859999313,63.71148479999101,68.71643859999313,62.69736749998992,69.73408759999438,68.71643859999313,69.71737589999975,69.71737589999975,70.86847869999474,left,0.35212480000336654,70.86847869999474,None,0.12,0.0,0,0.0,1,-1,57.10485901999054,,1,1,0,2,0,2021_Feb_09_2054,testDots,2020.2.5,59.971561485428595,
