trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,break_text.started,break_text.stopped,postbreak_text.started,postbreak_text.stopped,fixation1.started,fixation1.stopped,dots_stimulus.started,dots_stimulus.stopped,blackout.started,blackout.stopped,red_dot.started,red_dot.stopped,fixation2.started,fixation2.stopped,pursuit_or_saccade_dot.started,pursuit_or_saccade_dot.stopped,response.keys,response.rt,response.started,response.stopped,coh,dir,response,correct,pursuit_saccade_isLeft,congruent,pupil_timestamp,psychopy_timestamp,participant,trials_per_condition,pursuit_or_saccade,practice_version,break_every_n_trials,pupil_on,date,expName,psychopyVersion,frameRate,
0,0,0,0,None,None,None,None,15.036291600001277,16.038973000002443,16.038973000002443,16.339145799996913,16.038973000002443,16.339145799996913,15.036291600001277,17.35676219999732,16.339145799996913,17.34004989999812,17.34004989999812,18.4918703000003,right,0.4335934000046109,18.4918703000003,None,0.24,180.0,0,0,1.0,1,-1,14.00353323999443,,3,1,0,5,0,2021_Feb_10_1452,testDots,2020.2.5,60.719329755753954,
1,0,1,0,None,None,None,None,19.96364729999914,20.977017099998193,20.977017099998193,21.277528500002518,20.977017099998193,21.277528500002518,19.96364729999914,22.29511079999793,21.277528500002518,22.278981600000407,22.278981600000407,23.429728299997805,right,0.49468940000224393,23.429728299997805,None,0.12,0.0,0,1,1.0,0,-1,18.959182060002057,,3,1,0,5,0,2021_Feb_10_1452,testDots,2020.2.5,60.719329755753954,
2,0,2,0,None,None,None,None,24.966910800001642,25.98196309999912,25.98196309999912,26.28240899999946,25.98196309999912,26.28240899999946,24.966910800001642,27.299710200000845,26.28240899999946,27.283299000002444,27.283299000002444,28.434601799999655,left,0.38595669999631355,28.434601799999655,None,0.06,0.0,180,0,1.0,0,-1,23.96369835999794,,3,1,0,5,0,2021_Feb_10_1452,testDots,2020.2.5,60.719329755753954,
3,0,3,0,None,None,None,None,29.871864699998696,30.870122899999842,30.870122899999842,31.170581699996546,30.870122899999842,31.170581699996546,29.871864699998696,32.18813709999813,31.170581699996546,32.171565500000725,32.171565500000725,33.322773300002154,left,0.36160840000229655,33.322773300002154,None,0.48,180.0,180,1,1.0,1,-1,28.86846096000081,,3,1,0,5,0,2021_Feb_10_1452,testDots,2020.2.5,60.719329755753954,
4,0,4,0,None,None,None,None,34.726881100003084,35.74177030000283,35.74177030000283,36.04208359999757,35.74177030000283,36.04208359999757,34.726881100003084,37.05968569999823,36.04208359999757,37.04303500000242,37.04303500000242,38.19504800000141,right,0.3134677999987616,38.19504800000141,None,0.03,180.0,0,0,1.0,1,-1,33.72314475999738,,3,1,0,5,0,2021_Feb_10_1452,testDots,2020.2.5,60.719329755753954,
5,0,5,0,38.54852630000096,41.081172099999094,41.081172099999094,45.07688710000366,45.07688710000366,46.085356800002046,46.085356800002046,46.385744899998826,46.085356800002046,46.385744899998826,45.07688710000366,47.40359709999757,46.385744899998826,47.38681660000293,47.38681660000293,48.53774110000086,right,0.31486660000518896,48.53774110000086,None,0.06,0.0,0,1,1.0,0,-1,38.54449005999632,,3,1,0,5,0,2021_Feb_10_1452,testDots,2020.2.5,60.719329755753954,
6,0,6,0,None,None,None,None,49.892445899997256,50.907201399997575,50.907201399997575,51.207311799997115,50.907201399997575,51.207311799997115,49.892445899997256,52.22499719999905,51.207311799997115,52.208086400001775,52.208086400001775,53.35943740000221,right,0.30887510000320617,53.35943740000221,None,0.03,0.0,0,1,1.0,0,-1,48.88865086000297,,3,1,0,5,0,2021_Feb_10_1452,testDots,2020.2.5,60.719329755753954,
7,0,7,0,None,None,None,None,54.714590900002804,55.728276200003165,55.728276200003165,56.02911199999653,55.728276200003165,56.02911199999653,54.714590900002804,57.046434099996986,56.02911199999653,57.0305343,57.0305343,58.18090140000277,left,0.24745609999808948,58.18090140000277,None,0.24,180.0,180,1,1.0,1,-1,53.71045286000154,,3,1,0,5,0,2021_Feb_10_1452,testDots,2020.2.5,60.719329755753954,
8,0,8,0,None,None,None,None,59.468079600002966,60.483536200001254,60.483536200001254,60.784035600001516,60.483536200001254,60.784035600001516,59.468079600002966,61.801234799997474,60.784035600001516,61.785776600001554,61.785776600001554,62.935743599999114,right,0.2765064999985043,62.935743599999114,None,0.48,0.0,0,1,1.0,0,-1,58.46465136000043,,3,1,0,5,0,2021_Feb_10_1452,testDots,2020.2.5,60.719329755753954,
9,0,9,0,None,None,None,None,64.25567540000338,65.2546263999975,65.2546263999975,65.55491289999918,65.2546263999975,65.55491289999918,64.25567540000338,66.57234569999855,65.55491289999918,66.55574299999716,66.55574299999716,67.70683200000349,left,0.44167550000565825,67.70683200000349,None,0.12,0.0,180,0,0.0,1,-1,63.25299015999772,,3,1,0,5,0,2021_Feb_10_1452,testDots,2020.2.5,60.719329755753954,
