trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,break_text.started,break_text.stopped,postbreak_text.started,postbreak_text.stopped,fixation1.started,fixation1.stopped,dots_stimulus.started,dots_stimulus.stopped,blackout.started,blackout.stopped,red_dot.started,red_dot.stopped,fixation2.started,fixation2.stopped,pursuit_or_saccade_dot.started,pursuit_or_saccade_dot.stopped,response.keys,response.rt,response.started,response.stopped,coh,dir,correct,pursuit_saccade_isLeft,congruent,pupil_timestamp,psychopy_timestamp,participant,trials_per_condition,pursuit_or_saccade,practice_version,break_every_n_trials,pupil_on,date,expName,psychopyVersion,frameRate,
0,0,0,0,None,None,None,None,14.239686999993864,15.244617899996229,15.244617899996229,15.544801999989431,15.244617899996229,15.544801999989431,14.239686999993864,16.562522599997465,15.544801999989431,16.545933100002003,16.545933100002003,17.69702919998963,left,5.948811900001601,17.69702919998963,None,0.48,0.0,0,1.0,0,-1,13.22595346000162,,2,1,0,5,0,2021_Feb_09_2052,testDots,2020.2.5,59.91288666033216,
1,0,1,0,None,None,None,None,24.68515999999363,25.68828809999104,25.68828809999104,25.988556700001936,25.68828809999104,25.988556700001936,24.68515999999363,27.006312099998468,25.988556700001936,26.989555899999687,26.989555899999687,28.140719699993497,left,0.6249981000000844,28.140719699993497,None,0.03,180.0,0,0.0,0,-1,23.686341339998762,,2,1,0,5,0,2021_Feb_09_2052,testDots,2020.2.5,59.91288666033216,
2,0,2,0,None,None,None,None,29.80570230000012,30.81013779999921,30.81013779999921,31.110388000000967,30.81013779999921,31.110388000000967,29.80570230000012,32.12805030000163,31.110388000000967,32.111401899994235,32.111401899994235,33.26254699999117,left,0.3352113000000827,33.26254699999117,None,0.12,0.0,0,1.0,0,-1,28.808158040003036,,2,1,0,5,0,2021_Feb_09_2052,testDots,2020.2.5,59.91288666033216,
