trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,break_text.started,break_text.stopped,postbreak_text.started,postbreak_text.stopped,fixation1.started,fixation1.stopped,red_dot.started,red_dot.stopped,fixation2.started,fixation2.stopped,pursuit_or_saccade_dot.started,pursuit_or_saccade_dot.stopped,pursuit_saccade_isLeft,pupil_timestamp,psychopy_timestamp,participant,trials_per_condition,pursuit_or_saccade,practice_version,break_every_n_trials,pupil_on,date,expName,psychopyVersion,frameRate,
0,0,0,0,None,None,None,None,11.979546300135553,12.48041810002178,11.979546300135553,12.998286100104451,12.48041810002178,12.981361499987543,12.981361499987543,14.148085300112143,1.0,-1,10.946055280324073,,90,1,0,30,0,2021_Feb_25_1146,testDotsStepRampPilot,2020.2.5,None,
1,0,1,0,None,None,None,None,15.167350300122052,15.685124600073323,15.167350300122052,16.20084760012105,15.685124600073323,16.183344600023702,16.183344600023702,17.33545450004749,1.0,-1,14.164745360123925,,90,1,0,30,0,2021_Feb_25_1146,testDotsStepRampPilot,2020.2.5,None,
2,0,2,0,None,None,None,None,18.352971900021657,18.85425420012325,18.352971900021657,19.369923599995673,18.85425420012325,19.35562130017206,19.35562130017206,20.506656400160864,0.0,-1,17.35211456005927,,90,1,0,30,0,2021_Feb_25_1146,testDotsStepRampPilot,2020.2.5,None,
3,0,3,0,None,None,None,None,21.52098929998465,22.02323510008864,21.52098929998465,22.54086700011976,22.02323510008864,22.523348100017756,22.523348100017756,23.676122799981385,1.0,-1,20.523316460172644,,90,1,0,30,0,2021_Feb_25_1146,testDotsStepRampPilot,2020.2.5,None,
4,0,4,0,None,None,None,None,24.691339200129732,25.194043800001964,24.691339200129732,25.728543299948797,25.194043800001964,25.709897299995646,25.709897299995646,26.877683100057766,1.0,-1,23.692782859993166,,90,1,0,30,0,2021_Feb_25_1146,testDotsStepRampPilot,2020.2.5,None,
