trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,break_text.started,break_text.stopped,postbreak_text.started,postbreak_text.stopped,fixation1.started,fixation1.stopped,dots_stimulus.started,dots_stimulus.stopped,blackout.started,blackout.stopped,red_dot.started,red_dot.stopped,fixation2.started,fixation2.stopped,pursuit_or_saccade_dot.started,pursuit_or_saccade_dot.stopped,response.keys,response.rt,response.started,response.stopped,coh,dir,correct,pursuit_saccade_isLeft,congruent,pupil_timestamp,psychopy_timestamp,participant,trials_per_condition,pursuit_or_saccade,practice_version,break_every_n_trials,pupil_on,date,expName,psychopyVersion,frameRate,
0,0,0,0,None,None,None,None,13.20017640000151,14.205934500001604,14.205934500001604,14.506169600004796,14.205934500001604,14.506169600004796,13.20017640000151,15.523815199994715,14.506169600004796,15.507191500000772,15.507191500000772,16.65831519999483,right,0.6132057000068016,16.65831519999483,None,0.12,0.0,0,0.0,1,-1,12.187341979987105,,90,1,0,2,0,2021_Feb_09_2030,testDots,2020.2.5,59.90979980556419,
1,0,1,0,None,None,None,None,18.30724559999362,19.31110949999129,19.31110949999129,19.611166000002413,19.31110949999129,19.611166000002413,18.30724559999362,20.62892709999869,19.611166000002413,20.612251800004742,20.612251800004742,21.763352199996007,left,0.436166300001787,21.763352199996007,None,0.48,180.0,0,0.0,0,-1,17.308941819990288,,90,1,0,2,0,2021_Feb_09_2030,testDots,2020.2.5,59.90979980556419,
2,0,2,0,22.24512500000128,23.315025699994294,23.315025699994294,27.30610709999746,27.30610709999746,28.319976500002667,28.319976500002667,28.620217399991816,28.319976500002667,28.620217399991816,27.30610709999746,29.637881499991636,28.620217399991816,29.621215799998026,29.621215799998026,30.77247919999354,right,0.30701780000526924,30.77247919999354,None,0.24,0.0,0,0.0,1,-1,22.24715271999012,,90,1,0,2,0,2021_Feb_09_2030,testDots,2020.2.5,59.90979980556419,
3,0,3,0,None,None,None,None,32.12038120000216,33.12478299999202,33.12478299999202,33.425251599997864,33.12478299999202,33.425251599997864,32.12038120000216,34.442797199997585,33.425251599997864,34.42613629999687,34.42613629999687,35.57717170000251,left,0.3024750999902608,35.57717170000251,None,0.06,0.0,0,1.0,0,-1,31.12274282000144,,90,1,0,2,0,2021_Feb_09_2030,testDots,2020.2.5,59.90979980556419,
