trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,break_text.started,break_text.stopped,postbreak_text.started,postbreak_text.stopped,fixation1.started,fixation1.stopped,dots_stimulus.started,dots_stimulus.stopped,blackout.started,blackout.stopped,red_dot.started,red_dot.stopped,fixation2.started,fixation2.stopped,pursuit_or_saccade_dot.started,pursuit_or_saccade_dot.stopped,response.keys,response.rt,response.started,response.stopped,coh,dir,correct,pursuit_saccade_isLeft,congruent,pupil_timestamp,psychopy_timestamp,participant,trials_per_condition,pursuit_or_saccade,practice_version,break_every_n_trials,pupil_on,date,expName,psychopyVersion,frameRate,
0,0,0,0,None,None,None,None,12.112335099998745,13.113880299999437,13.113880299999437,13.414144000002125,13.113880299999437,13.414144000002125,12.112335099998745,14.43182849999721,13.414144000002125,14.415326100002858,14.415326100002858,15.566281200000958,left,2.1047475000013947,15.566281200000958,None,0.48,180.0,0,1.0,1,-1,11.0951109000016,,90,1,0,30,0,2021_Feb_10_1419,testDots,2020.2.5,59.94053898700145,
1,0,1,0,None,None,None,None,18.716159499999776,19.720482199998514,19.720482199998514,20.020742400003655,19.720482199998514,20.020742400003655,18.716159499999776,21.038436199996795,20.020742400003655,21.021770500003186,21.021770500003186,22.172885599997244,left,2.4022595999995247,22.172885599997244,None,0.12,180.0,0,1.0,1,-1,17.718435839997255,,90,1,0,30,0,2021_Feb_10_1419,testDots,2020.2.5,59.94053898700145,
2,0,2,0,None,None,None,None,25.604338400000415,26.610712100002274,26.610712100002274,26.910970899996755,26.610712100002274,26.910970899996755,25.604338400000415,27.928697399998782,26.910970899996755,27.911882699998387,27.911882699998387,29.06314779999957,left,0.7598618999982136,29.06314779999957,None,0.03,0.0,0,0.0,1,-1,24.608625740002026,,90,1,0,30,0,2021_Feb_10_1419,testDots,2020.2.5,59.94053898700145,
3,0,3,0,None,None,None,None,30.8596239000035,31.865956800000276,31.865956800000276,32.16623000000254,31.865956800000276,32.16623000000254,30.8596239000035,33.18391349999729,32.16623000000254,33.167229300001054,33.167229300001054,34.31839410000248,left,0.8486560999954236,34.31839410000248,None,0.24,180.0,0,1.0,1,-1,29.86391174000164,,90,1,0,30,0,2021_Feb_10_1419,testDots,2020.2.5,59.94053898700145,
4,0,4,0,None,None,None,None,36.1978259000025,37.20464840000204,37.20464840000204,37.50493629999983,37.20464840000204,37.50493629999983,36.1978259000025,38.52261290000024,37.50493629999983,38.50590950000333,38.50590950000333,39.657033199997386,left,3.374094899998454,39.657033199997386,None,0.06,180.0,0,0.0,0,-1,35.202619240000786,,90,1,0,30,0,2021_Feb_10_1419,testDots,2020.2.5,59.94053898700145,
5,0,5,0,None,None,None,None,44.07356810000056,45.07919140000013,45.07919140000013,45.37944620000053,45.07919140000013,45.37944620000053,44.07356810000056,46.39713479999773,45.37944620000053,46.38045260000217,46.38045260000217,47.531581299997924,left,0.6835015999968164,47.531581299997924,None,0.24,180.0,0,0.0,0,-1,43.07711623999785,,90,1,0,30,0,2021_Feb_10_1419,testDots,2020.2.5,59.94053898700145,
6,0,6,0,None,None,None,None,49.24382080000214,50.251078499997675,50.251078499997675,50.55127630000061,50.251078499997675,50.55127630000061,49.24382080000214,51.568975000001956,50.55127630000061,51.552289599996584,51.552289599996584,52.70337709999876,left,0.5516234999959124,52.70337709999876,None,0.03,0.0,0,0.0,1,-1,48.248989339997934,,90,1,0,30,0,2021_Feb_10_1419,testDots,2020.2.5,59.94053898700145,
7,0,7,0,None,None,None,None,54.283168599999044,55.289418000000296,55.289418000000296,55.58964279999782,55.289418000000296,55.58964279999782,54.283168599999044,56.607353899999,55.58964279999782,56.59065869999904,56.59065869999904,57.74179410000215,left,0.3692083000059938,57.74179410000215,None,0.06,0.0,0,0.0,1,-1,53.28732873999979,,90,1,0,30,0,2021_Feb_10_1419,testDots,2020.2.5,59.94053898700145,
