trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,break_text.started,break_text.stopped,postbreak_text.started,postbreak_text.stopped,fixation1.started,fixation1.stopped,dots_stimulus.started,dots_stimulus.stopped,blackout.started,blackout.stopped,red_dot.started,red_dot.stopped,fixation2.started,fixation2.stopped,pursuit_or_saccade_dot.started,pursuit_or_saccade_dot.stopped,response.keys,response.rt,response.started,response.stopped,coh,dir,response,correct,pursuit_saccade_isLeft,congruent,pupil_timestamp,psychopy_timestamp,participant,trials_per_condition,pursuit_or_saccade,practice_version,break_every_n_trials,pupil_on,date,expName,psychopyVersion,frameRate,
0,0,0,0,None,None,None,None,12.61890680000215,13.625172800006112,13.625172800006112,13.925348100005067,13.625172800006112,13.925348100005067,12.61890680000215,14.943121500000416,13.925348100005067,14.926257900006021,14.926257900006021,16.077379400005157,right,0.27343509999627713,16.077379400005157,None,0.03,0.0,-1,0,1.0,0,-1,11.590857020008844,,1,1,0,30,0,2021_Feb_10_1446,testDots,2020.2.5,59.86658133670569,
1,0,1,0,None,None,None,None,17.401915400005237,18.413701299999957,18.413701299999957,18.71342200000072,18.413701299999957,18.71342200000072,17.401915400005237,19.731345100000908,18.71342200000072,19.71485720000055,19.71485720000055,20.86563460000616,left,0.41287930000544293,20.86563460000616,None,0.12,0.0,-1,0,1.0,0,-1,16.395178040003522,,1,1,0,30,0,2021_Feb_10_1446,testDots,2020.2.5,59.86658133670569,
2,0,2,0,None,None,None,None,22.322026200003165,23.33488010000292,23.33488010000292,23.63532269999996,23.33488010000292,23.63532269999996,22.322026200003165,24.653120100003434,23.63532269999996,24.636916700001166,24.636916700001166,25.787388600001577,right,0.3152734999966924,25.787388600001577,None,0.48,0.0,-1,0,0.0,1,-1,21.31699464000267,,1,1,0,30,0,2021_Feb_10_1446,testDots,2020.2.5,59.86658133670569,
3,0,3,0,None,None,None,None,27.143263200006913,28.15637330000027,28.15637330000027,28.4577172000063,28.15637330000027,28.4577172000063,27.143263200006913,29.474318100001256,28.4577172000063,29.45822020000196,29.45822020000196,30.608874800003832,left,0.27769780000380706,30.608874800003832,None,0.24,0.0,-1,0,1.0,0,-1,26.138673540002493,,1,1,0,30,0,2021_Feb_10_1446,testDots,2020.2.5,59.86658133670569,
4,0,4,0,None,None,None,None,31.929091900005005,32.927693600002385,32.927693600002385,33.22796980000567,32.927693600002385,33.22796980000567,31.929091900005005,34.245643800000835,33.22796980000567,34.22913850000623,34.22913850000623,35.38017650000256,right,0.3304442000007839,35.38017650000256,None,0.06,0.0,-1,0,1.0,0,-1,30.92596054000169,,1,1,0,30,0,2021_Feb_10_1446,testDots,2020.2.5,59.86658133670569,
