trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,break_text.started,break_text.stopped,postbreak_text.started,postbreak_text.stopped,fixation1.started,fixation1.stopped,red_dot.started,red_dot.stopped,fixation2.started,fixation2.stopped,pursuit_or_saccade_dot.started,pursuit_or_saccade_dot.stopped,pursuit_saccade_isLeft,pupil_timestamp,psychopy_timestamp,participant,trials_per_condition,pursuit_or_saccade,practice_version,break_every_n_trials,pupil_on,date,expName,psychopyVersion,frameRate,
0,0,0,0,None,None,None,None,17.002251599915326,17.508092500036582,17.002251599915326,18.02322300011292,17.508092500036582,18.00993679999374,18.00993679999374,19.194676999934018,1.0,-500978.750395,15.976198766628903,,90,1,0,30,1,2021_Feb_25_1331,testDotsStepRampPilot,2020.2.5,None,
1,0,1,0,None,None,None,None,20.21233669994399,20.714434900088236,20.21233669994399,21.24943570001051,20.714434900088236,21.225580099970102,21.225580099970102,22.414257700089365,0.0,-500975.515936,19.211343666600683,,90,1,0,30,1,2021_Feb_25_1331,testDotsStepRampPilot,2020.2.5,None,
2,0,2,0,None,None,None,None,23.432006200077012,23.934536500135437,23.432006200077012,24.46568679995835,23.934536500135437,24.45081189996563,24.45081189996563,25.636621300131083,1.0,-500972.297402,22.43092436675603,,90,1,0,30,1,2021_Feb_25_1331,testDotsStepRampPilot,2020.2.5,None,
3,0,3,0,None,None,None,None,26.65277689998038,27.16448980011046,26.65277689998038,27.68816010002047,27.16448980011046,27.66503840009682,27.66503840009682,28.85574769997038,0.0,-500969.075136,25.65328796679775,,90,1,0,30,1,2021_Feb_25_1331,testDotsStepRampPilot,2020.2.5,None,
4,0,4,0,None,None,None,None,29.871877799974754,30.374288599938154,29.871877799974754,30.905200799927115,30.374288599938154,30.889313200023025,30.889313200023025,32.07600590004586,0.0,-500965.856711,28.872414366637045,,90,1,0,30,1,2021_Feb_25_1331,testDotsStepRampPilot,2020.2.5,None,
5,0,5,0,None,None,None,None,33.09467060002498,33.59255170007236,33.09467060002498,34.10861240001395,33.59255170007236,34.0961937000975,34.0961937000975,35.27694829995744,1.0,-500962.633853,32.09267256671252,,90,1,0,30,1,2021_Feb_25_1331,testDotsStepRampPilot,2020.2.5,None,
6,0,6,0,None,None,None,None,36.293297900119796,36.79809470009059,36.293297900119796,37.331454700091854,36.79809470009059,37.31138109997846,37.31138109997846,38.49586850008927,0.0,-500959.434913,35.293614966624105,,90,1,0,30,1,2021_Feb_25_1331,testDotsStepRampPilot,2020.2.5,None,
7,0,7,0,None,None,None,None,39.51364709995687,40.0140794001054,39.51364709995687,40.532465799944475,40.0140794001054,40.51704720011912,40.51704720011912,41.70221549994312,1.0,-500956.21572,38.51253516675594,,90,1,0,30,1,2021_Feb_25_1331,testDotsStepRampPilot,2020.2.5,None,
8,0,8,0,None,None,None,None,42.71788470004685,43.2165701999329,42.71788470004685,43.737500899937004,43.2165701999329,43.71822059992701,43.71822059992701,44.90235160011798,0.0,-500953.010184,41.71888216660979,,90,1,0,30,1,2021_Feb_25_1331,testDotsStepRampPilot,2020.2.5,None,
