trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,break_text.started,break_text.stopped,postbreak_text.started,postbreak_text.stopped,fixation1.started,fixation1.stopped,dots_stimulus.started,dots_stimulus.stopped,blackout.started,blackout.stopped,red_dot.started,red_dot.stopped,fixation2.started,fixation2.stopped,pursuit_or_saccade_dot.started,pursuit_or_saccade_dot.stopped,response.keys,response.rt,response.started,response.stopped,coh,dir,response,correct,pursuit_saccade_isLeft,congruent,pupil_timestamp,psychopy_timestamp,participant,trials_per_condition,pursuit_or_saccade,practice_version,break_every_n_trials,pupil_on,date,expName,psychopyVersion,frameRate,
0,0,0,0,None,None,None,None,21.43044479999662,22.445510199999262,22.445510199999262,22.745381499997166,22.445510199999262,22.745381499997166,21.43044479999662,23.764776700001676,22.745381499997166,23.747798199998215,23.747798199998215,24.914796500001103,right,0.37114780000410974,24.914796500001103,None,0.03,180.0,0,0,1.0,1,53467.313175,20.39585848999486,,1,1,0,30,1,2021_Feb_10_1507,testDots,2020.2.5,60.214665282992286,
1,0,1,0,None,None,None,None,26.33998089999659,27.351969299998018,27.351969299998018,27.668003099999623,27.351969299998018,27.668003099999623,26.33998089999659,28.687226199996076,27.668003099999623,28.668761100001575,28.668761100001575,29.83577929999592,right,0.729802900001232,29.83577929999592,None,0.06,0.0,0,1,1.0,0,53472.251286,25.33322141999961,,1,1,0,30,1,2021_Feb_10_1507,testDots,2020.2.5,60.214665282992286,
2,0,2,0,None,None,None,None,31.607331400002295,32.622823300000164,32.622823300000164,32.92212239999935,32.622823300000164,32.92212239999935,31.607331400002295,33.942212399997516,32.92212239999935,33.92319119999593,33.92319119999593,35.101420200000575,right,1.065164100000402,35.101420200000575,None,0.12,180.0,0,0,1.0,1,53477.519035,30.604028119998112,,1,1,0,30,1,2021_Feb_10_1507,testDots,2020.2.5,60.214665282992286,
3,0,3,0,None,None,None,None,37.208339600001636,38.21287380000285,38.21287380000285,38.51153540000087,38.21287380000285,38.51153540000087,37.208339600001636,39.58995549999963,38.51153540000087,39.55624459999672,39.55624459999672,40.704342400000314,right,0.3901158999942709,40.704342400000314,None,0.24,180.0,0,0,1.0,1,53483.119518,36.205144820001436,,1,1,0,30,1,2021_Feb_10_1507,testDots,2020.2.5,60.214665282992286,
4,0,4,0,None,None,None,None,42.141917699998885,43.152533499996935,43.152533499996935,43.452641299998504,43.152533499996935,43.452641299998504,42.141917699998885,44.47180320000189,43.452641299998504,44.453851099999156,44.453851099999156,45.6048501999976,right,0.5527846000040881,45.6048501999976,None,0.48,180.0,0,0,1.0,1,53488.052291,41.1336297199974,,1,1,0,30,1,2021_Feb_10_1507,testDots,2020.2.5,60.214665282992286,
