trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,break_text.started,break_text.stopped,postbreak_text.started,postbreak_text.stopped,fixation1.started,fixation1.stopped,red_dot.started,red_dot.stopped,fixation2.started,fixation2.stopped,pursuit_or_saccade_dot.started,pursuit_or_saccade_dot.stopped,pursuit_saccade_isLeft,pupil_timestamp,psychopy_timestamp,participant,trials_per_condition,pursuit_or_saccade,practice_version,break_every_n_trials,pupil_on,date,expName,psychopyVersion,frameRate,
0,0,0,0,None,None,None,None,11.105427799979225,11.615691999904811,11.105427799979225,12.132655599853024,11.615691999904811,12.115732999984175,12.115732999984175,13.267115599941462,1.0,-507450.258522,10.082101699826309,,90,1,0,30,1,2021_Feb_25_1143,testDotsStepRampPilot,2020.2.5,60.902452550513104,
1,0,1,0,None,None,None,None,14.287963299779221,14.80192599981092,14.287963299779221,15.319098999956623,14.80192599981092,15.302251999964938,15.302251999964938,16.453599199885502,1.0,-507447.051047,13.283862799941563,,90,1,0,30,1,2021_Feb_25_1143,testDotsStepRampPilot,2020.2.5,60.902452550513104,
2,0,2,0,None,None,None,None,17.47237279987894,17.972194699803367,17.47237279987894,18.488684999989346,17.972194699803367,18.47203029994853,18.47203029994853,19.6232899997849,0.0,-507443.866797,16.470346399885603,,90,1,0,30,1,2021_Feb_25_1143,testDotsStepRampPilot,2020.2.5,60.902452550513104,
3,0,3,0,None,None,None,None,20.640406399965286,21.141944899922237,20.640406399965286,21.65928709995933,21.141944899922237,21.642346099950373,21.642346099950373,22.795384399825707,1.0,-507440.699127,19.640037199785002,,90,1,0,30,1,2021_Feb_25_1143,testDotsStepRampPilot,2020.2.5,60.902452550513104,
4,0,4,0,None,None,None,None,23.812165999785066,24.31264129979536,23.812165999785066,24.8285831999965,24.31264129979536,24.812550799921155,24.812550799921155,25.9653686999809,0.0,-507437.527192,22.812131599825808,,90,1,0,30,1,2021_Feb_25_1143,testDotsStepRampPilot,2020.2.5,60.902452550513104,
5,0,5,0,None,None,None,None,26.98063589981757,27.48123319982551,26.98063589981757,27.998403899837285,27.48123319982551,27.983181199990213,27.983181199990213,29.134872799972072,0.0,-507434.358023,25.982115899981,,90,1,0,30,1,2021_Feb_25_1143,testDotsStepRampPilot,2020.2.5,60.902452550513104,
6,0,6,0,None,None,None,None,30.150060399901122,30.651750899851322,30.150060399901122,31.169910099823028,30.651750899851322,31.156482399906963,31.156482399906963,32.32003949978389,0.0,-507431.187816,29.151619999972173,,90,1,0,30,1,2021_Feb_25_1143,testDotsStepRampPilot,2020.2.5,60.902452550513104,
7,0,7,0,None,None,None,None,33.33590679988265,33.83761339983903,33.33590679988265,34.3546301999595,33.83761339983903,34.33818109985441,34.33818109985441,35.48922139988281,0.0,-507428.003187,32.336786699783985,,90,1,0,30,1,2021_Feb_25_1143,testDotsStepRampPilot,2020.2.5,60.902452550513104,
8,0,8,0,None,None,None,None,36.51392349996604,37.02418199996464,36.51392349996604,37.54122889996506,37.02418199996464,37.52457879995927,37.52457879995927,38.675314699998125,0.0,-507424.831194,35.505968599882905,,90,1,0,30,1,2021_Feb_25_1143,testDotsStepRampPilot,2020.2.5,60.902452550513104,
9,0,9,0,None,None,None,None,39.69384769978933,40.19585129991174,39.69384769978933,40.71242389990948,40.19585129991174,40.699094199808314,40.699094199808314,41.86239159991965,1.0,-507421.646896,38.69206189999822,,90,1,0,30,1,2021_Feb_25_1143,testDotsStepRampPilot,2020.2.5,60.902452550513104,
10,0,10,0,None,None,None,None,42.87883309996687,43.381861299974844,42.87883309996687,43.899371000006795,43.381861299974844,43.883730199886486,43.883730199886486,45.04962559998967,0.0,-507418.459693,41.879138799919744,,90,1,0,30,1,2021_Feb_25_1143,testDotsStepRampPilot,2020.2.5,60.902452550513104,
11,0,11,0,None,None,None,None,46.06623149989173,46.56688239984214,46.06623149989173,47.08417039993219,46.56688239984214,47.06731119984761,47.06731119984761,48.220283599803224,0.0,-507415.272799,45.066372799989765,,90,1,0,30,1,2021_Feb_25_1143,testDotsStepRampPilot,2020.2.5,60.902452550513104,
12,0,12,0,None,None,None,None,49.23839879990555,49.73806449980475,49.23839879990555,50.254015299957246,49.73806449980475,50.23731219978072,50.23731219978072,51.39071539998986,0.0,-507412.100343,48.23703079980332,,90,1,0,30,1,2021_Feb_25_1143,testDotsStepRampPilot,2020.2.5,60.902452550513104,
13,0,13,0,None,None,None,None,52.40666179987602,52.90694259991869,52.40666179987602,53.42451019980945,52.90694259991869,53.408012699801475,53.408012699801475,54.558350099949166,1.0,-507408.932469,51.407462599989955,,90,1,0,30,1,2021_Feb_25_1143,testDotsStepRampPilot,2020.2.5,60.902452550513104,
14,0,14,0,None,None,None,None,55.57670279988088,56.077063999837264,55.57670279988088,56.59372009988874,56.077063999837264,56.58040769980289,56.58040769980289,57.72823689994402,1.0,-507405.763619,54.57509729994926,,90,1,0,30,1,2021_Feb_25_1143,testDotsStepRampPilot,2020.2.5,60.902452550513104,
15,0,15,0,None,None,None,None,58.744157399982214,59.246702399803326,58.744157399982214,59.765269899973646,59.246702399803326,59.74684249982238,59.74684249982238,60.89784069987945,1.0,-507402.594672,57.74498409994412,,90,1,0,30,1,2021_Feb_25_1143,testDotsStepRampPilot,2020.2.5,60.902452550513104,
16,0,16,0,None,None,None,None,61.9135731998831,62.41789809986949,61.9135731998831,62.938907499890774,62.41789809986949,62.92402769997716,62.92402769997716,64.08520649978891,0.0,-507399.425213,60.91458789987955,,90,1,0,30,1,2021_Feb_25_1143,testDotsStepRampPilot,2020.2.5,60.902452550513104,
17,0,17,0,None,None,None,None,65.10096239997074,65.6021867999807,65.10096239997074,66.11972089996561,65.6021867999807,66.10299229994416,66.10299229994416,67.2543214999605,1.0,-507396.237254,64.10195369978901,,90,1,0,30,1,2021_Feb_25_1143,testDotsStepRampPilot,2020.2.5,60.902452550513104,
18,0,18,0,None,None,None,None,68.2717960998416,68.77277889987454,68.2717960998416,69.28951559984125,68.77277889987454,69.27288709999993,69.27288709999993,70.42444149986841,1.0,-507393.067202,67.2710686999606,,90,1,0,30,1,2021_Feb_25_1143,testDotsStepRampPilot,2020.2.5,60.902452550513104,
19,0,19,0,None,None,None,None,71.44050909997895,71.94279649993405,71.44050909997895,72.46030139992945,71.94279649993405,72.4427768997848,72.4427768997848,73.5940844998695,1.0,-507389.898356,70.4411886998685,,90,1,0,30,1,2021_Feb_25_1143,testDotsStepRampPilot,2020.2.5,60.902452550513104,
20,0,20,0,None,None,None,None,74.61150019988418,75.11348219984211,74.61150019988418,75.6297141998075,75.11348219984211,75.61336079984903,75.61336079984903,76.76373229990713,0.0,-507386.729174,73.61083169986959,,90,1,0,30,1,2021_Feb_25_1143,testDotsStepRampPilot,2020.2.5,60.902452550513104,
21,0,21,0,None,None,None,None,77.77915229997598,78.28474549995735,77.77915229997598,78.80085299978964,78.28474549995735,78.78694329992868,78.78694329992868,79.93614459992386,1.0,-507383.559043,76.78047949990723,,90,1,0,30,1,2021_Feb_25_1143,testDotsStepRampPilot,2020.2.5,60.902452550513104,
22,0,22,0,None,None,None,None,80.95298549998552,81.45405689999461,80.95298549998552,81.97148999990895,81.45405689999461,81.9537919999566,81.9537919999566,83.10447799996473,1.0,-507380.38662,79.95289179992396,,90,1,0,30,1,2021_Feb_25_1143,testDotsStepRampPilot,2020.2.5,60.902452550513104,
23,0,23,0,None,None,None,None,84.12510559987277,84.64049679995514,84.12510559987277,85.15536869992502,84.64049679995514,85.14088129997253,85.14088129997253,86.29053599992767,0.0,-507377.215033,83.12122519996483,,90,1,0,30,1,2021_Feb_25_1143,testDotsStepRampPilot,2020.2.5,60.902452550513104,
24,0,24,0,None,None,None,None,87.3067445999477,87.81065019988455,87.3067445999477,88.32768329977989,87.81065019988455,88.31005389988422,88.31005389988422,89.47802499984391,1.0,-507374.032158,86.30728319992777,,90,1,0,30,1,2021_Feb_25_1143,testDotsStepRampPilot,2020.2.5,60.902452550513104,
