trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,break_text.started,break_text.stopped,postbreak_text.started,postbreak_text.stopped,fixation1.started,fixation1.stopped,red_dot.started,red_dot.stopped,fixation2.started,fixation2.stopped,pursuit_or_saccade_dot.started,pursuit_or_saccade_dot.stopped,pursuit_saccade_isLeft,pupil_timestamp,psychopy_timestamp,participant,trials_per_condition,pursuit_or_saccade,practice_version,break_every_n_trials,pupil_on,date,expName,psychopyVersion,frameRate,
0,0,0,0,None,None,None,None,10.197977000148967,10.706683400087059,10.197977000148967,11.223660700023174,10.706683400087059,11.20766569999978,11.20766569999978,None,0.0,-1,9.171829500002787,,90,1,0,30,0,2021_Feb_25_1124,testDotsStepRampPilot,2020.2.5,59.82052641321986,
1,0,1,0,None,None,None,None,13.36983980005607,13.876398700056598,13.36983980005607,14.393706900067627,13.876398700056598,14.376965600065887,14.376965600065887,13.36983980005607,1.0,-1,12.375258499989286,,90,1,0,30,0,2021_Feb_25_1124,testDotsStepRampPilot,2020.2.5,59.82052641321986,
2,0,2,0,None,None,None,None,16.5362613000907,17.046122000087053,16.5362613000907,17.56326650013216,17.046122000087053,17.548370599979535,17.548370599979535,16.5362613000907,1.0,-1,15.527977849938907,,90,1,0,30,0,2021_Feb_25_1124,testDotsStepRampPilot,2020.2.5,59.82052641321986,
3,0,3,0,None,None,None,None,19.70641200011596,20.21608390007168,19.70641200011596,20.73312330013141,20.21608390007168,20.71641999995336,20.71641999995336,19.70641200011596,1.0,-1,18.698047650163062,,90,1,0,30,0,2021_Feb_25_1124,testDotsStepRampPilot,2020.2.5,59.82052641321986,
4,0,4,0,None,None,None,None,22.877003700006753,23.38597960001789,22.877003700006753,23.90303050004877,23.38597960001789,23.88621659995988,23.88621659995988,22.877003700006753,0.0,-1,21.867691350053065,,90,1,0,30,0,2021_Feb_25_1124,testDotsStepRampPilot,2020.2.5,59.82052641321986,
5,0,5,0,None,None,None,None,26.046109900111333,26.555819100001827,26.046109900111333,27.073020600015298,26.555819100001827,27.056461400119588,27.056461400119588,26.046109900111333,0.0,-1,25.037658450077288,,90,1,0,30,0,2021_Feb_25_1124,testDotsStepRampPilot,2020.2.5,59.82052641321986,
6,0,6,0,None,None,None,None,29.21632090001367,29.725612699985504,29.21632090001367,30.24260829994455,29.725612699985504,30.226104200119153,30.226104200119153,29.21632090001367,0.0,-1,28.207293050014414,,90,1,0,30,0,2021_Feb_25_1124,testDotsStepRampPilot,2020.2.5,59.82052641321986,
7,0,7,0,None,None,None,None,32.38515260000713,32.89560870011337,32.38515260000713,33.41248830012046,32.89560870011337,33.396365700056776,33.396365700056776,32.38515260000713,1.0,-1,31.37723444995936,,90,1,0,30,0,2021_Feb_25_1124,testDotsStepRampPilot,2020.2.5,59.82052641321986,
8,0,8,0,None,None,None,None,35.554901000112295,36.0650816000998,35.554901000112295,36.582249500090256,36.0650816000998,36.565520300064236,36.565520300064236,35.554901000112295,0.0,-1,34.54678535007406,,90,1,0,30,0,2021_Feb_25_1124,testDotsStepRampPilot,2020.2.5,59.82052641321986,
9,0,9,0,None,None,None,None,38.72543560015038,39.23498910013586,38.72543560015038,39.75209280010313,39.23498910013586,39.7353169999551,39.7353169999551,38.72543560015038,0.0,-1,37.71664895012509,,90,1,0,30,0,2021_Feb_25_1124,testDotsStepRampPilot,2020.2.5,59.82052641321986,
