trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,break_text.started,break_text.stopped,postbreak_text.started,postbreak_text.stopped,fixation1.started,fixation1.stopped,dots_stimulus.started,dots_stimulus.stopped,blackout.started,blackout.stopped,red_dot.started,red_dot.stopped,fixation2.started,fixation2.stopped,pursuit_or_saccade_dot.started,pursuit_or_saccade_dot.stopped,response.keys,response.rt,response.started,response.stopped,coh,dir,correct,pursuit_saccade_isLeft,congruent,pupil_timestamp,psychopy_timestamp,participant,trials_per_condition,pursuit_or_saccade,practice_version,break_every_n_trials,pupil_on,date,expName,psychopyVersion,frameRate,
0,0,0,0,None,None,None,None,11.186824499993236,12.20113419998961,12.20113419998961,12.501333899999736,12.20113419998961,12.501333899999736,11.186824499993236,13.518985699993209,12.501333899999736,13.50220730000001,13.50220730000001,14.653461399997468,left,2.4590890999970725,14.653461399997468,None,0.12,0.0,0,0.0,1,-1,10.165408299988485,,90,1,0,2,0,2021_Feb_09_2029,testDots,2020.2.5,59.92250821004149,
1,0,1,0,None,None,None,None,18.15431610000087,19.15796519999276,19.15796519999276,19.458267099995282,19.15796519999276,19.458267099995282,18.15431610000087,20.47593539999798,19.458267099995282,20.459267099999124,20.459267099999124,21.610403699989547,left,0.3502844000031473,21.610403699989547,None,0.24,180.0,0,0.0,0,-1,17.155803599991486,,90,1,0,2,0,2021_Feb_09_2029,testDots,2020.2.5,59.92250821004149,
2,0,2,0,21.993205499995383,23.695841199994902,23.695841199994902,27.686249099991983,27.686249099991983,28.700918599992292,28.700918599992292,29.00111919999472,28.700918599992292,29.00111919999472,27.686249099991983,30.018802199992933,29.00111919999472,30.002169799990952,30.002169799990952,31.153202200002852,right,0.5913301999971736,31.153202200002852,None,0.48,0.0,0,1.0,0,-1,21.99402939999709,,90,1,0,2,0,2021_Feb_09_2029,testDots,2020.2.5,59.92250821004149,
