trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,break_text.started,break_text.stopped,postbreak_text.started,postbreak_text.stopped,fixation1.started,fixation1.stopped,dots_stimulus.started,dots_stimulus.stopped,blackout.started,blackout.stopped,red_dot.started,red_dot.stopped,fixation2.started,fixation2.stopped,pursuit_or_saccade_dot.started,pursuit_or_saccade_dot.stopped,response.keys,response.rt,response.started,response.stopped,coh,dir,correct,pursuit_saccade_isLeft,congruent,pupil_timestamp,psychopy_timestamp,participant,trials_per_condition,pursuit_or_saccade,practice_version,break_every_n_trials,pupil_on,date,expName,psychopyVersion,frameRate,
0,0,0,0,None,None,None,None,56.51958809999633,57.52692749999551,57.52692749999551,57.82690469999943,57.52692749999551,57.82690469999943,56.51958809999633,58.84503319999931,57.82690469999943,58.82742479999433,58.82742479999433,59.979717899994284,left,0.7782500999965123,59.979717899994284,None,1.0,180.0,0,1.0,1,51085.892229,55.47517668000364,,1,1,1,50,1,2021_Feb_10_1427,testDots,2020.2.5,60.0553710507537,
1,0,1,0,None,None,None,None,61.80262450000009,62.81544479999866,62.81544479999866,63.11599289999867,62.81544479999866,63.11599289999867,61.80262450000009,64.13403499999549,63.11599289999867,64.11902559999726,64.11902559999726,65.26781230000051,left,5.330255399996531,65.26781230000051,None,1.0,180.0,0,1.0,1,51091.201717,60.79710715999681,,1,1,1,50,1,2021_Feb_10_1427,testDots,2020.2.5,60.0553710507537,
2,0,2,0,None,None,None,None,71.64517089999572,72.65897609999956,72.65897609999956,72.95900759999495,72.65897609999956,72.95900759999495,71.64517089999572,73.97609050000028,72.95900759999495,73.9596692999985,73.9596692999985,75.11141249999491,left,0.6148563999959151,75.11141249999491,None,1.0,180.0,0,1.0,1,51101.041731,70.64010905999749,,1,1,1,50,1,2021_Feb_10_1427,testDots,2020.2.5,60.0553710507537,
3,0,3,0,None,None,None,None,76.76736800000072,77.78081929999462,77.78081929999462,78.08286799999769,77.78081929999462,78.08286799999769,76.76736800000072,79.09901069999614,78.08286799999769,79.08272459999716,79.08272459999716,80.24942799999553,left,0.31916110000020126,80.24942799999553,None,1.0,0.0,0,1.0,0,51106.164437,75.76242675999674,,1,1,1,50,1,2021_Feb_10_1427,testDots,2020.2.5,60.0553710507537,
4,0,4,0,None,None,None,None,81.60680599999614,82.61855110000033,82.61855110000033,82.91916269999638,82.61855110000033,82.91916269999638,81.60680599999614,83.93645749999996,82.91916269999638,83.91990909999731,83.91990909999731,85.07071449999785,left,0.4553696000002674,85.07071449999785,None,1.0,180.0,0,0.0,0,51111.004662,80.60212396000134,,1,1,1,50,1,2021_Feb_10_1427,testDots,2020.2.5,60.0553710507537,
