trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,break_text.started,break_text.stopped,postbreak_text.started,postbreak_text.stopped,fixation1.started,fixation1.stopped,red_dot.started,red_dot.stopped,fixation2.started,fixation2.stopped,pursuit_or_saccade_dot.started,pursuit_or_saccade_dot.stopped,pursuit_saccade_isLeft,pupil_timestamp,psychopy_timestamp,participant,trials_per_condition,pursuit_or_saccade,practice_version,break_every_n_trials,pupil_on,date,expName,psychopyVersion,frameRate,
0,0,0,0,None,None,None,None,8.97567429999998,9.48939089999999,8.97567429999998,10.00659250000001,9.48939089999999,9.989627100000007,9.989627100000007,11.175367499999993,1.0,-1,7.951008250000058,,90,1,0,30,0,2021_Feb_25_1405,testDotsStepRampPilot,2020.2.5,59.91191749888803,
1,0,1,0,None,None,None,None,12.192546100000015,12.69260730000002,12.192546100000015,13.209611699999982,12.69260730000002,13.195410299999992,13.195410299999992,14.377567199999987,0.0,-1,11.191814589999996,,90,1,0,30,0,2021_Feb_25_1405,testDotsStepRampPilot,2020.2.5,59.91191749888803,
2,0,2,0,None,None,None,None,15.392998299999988,15.895691899999974,15.392998299999988,16.41293159999998,15.895691899999974,16.39617320000002,16.39617320000002,17.585616200000004,1.0,-1,14.39401428999999,,90,1,0,30,0,2021_Feb_25_1405,testDotsStepRampPilot,2020.2.5,59.91191749888803,
3,0,3,0,None,None,None,None,18.600375199999974,19.11597439999997,18.600375199999974,19.63316500000002,19.11597439999997,19.616459099999986,19.616459099999986,20.801082899999983,0.0,-1,17.602063290000007,,90,1,0,30,0,2021_Feb_25_1405,testDotsStepRampPilot,2020.2.5,59.91191749888803,
4,0,4,0,None,None,None,None,21.815022499999998,22.31924079999999,21.815022499999998,22.836351999999977,22.31924079999999,22.819739400000003,22.819739400000003,24.004231199999992,0.0,-1,20.817529989999986,,90,1,0,30,0,2021_Feb_25_1405,testDotsStepRampPilot,2020.2.5,59.91191749888803,
5,0,5,0,None,None,None,None,25.01835699999998,25.522403699999984,25.01835699999998,26.0396073,25.522403699999984,26.02297199999998,26.02297199999998,27.20744209999998,0.0,-1,24.020678289999996,,90,1,0,30,0,2021_Feb_25_1405,testDotsStepRampPilot,2020.2.5,59.91191749888803,
6,0,6,0,None,None,None,None,28.221840999999984,28.725808700000016,28.221840999999984,29.242775999999992,28.725808700000016,29.226165100000003,29.226165100000003,30.41071340000002,1.0,-1,27.223889189999984,,90,1,0,30,0,2021_Feb_25_1405,testDotsStepRampPilot,2020.2.5,59.91191749888803,
7,0,7,0,None,None,None,None,31.424683500000015,31.928917899999988,31.424683500000015,32.4460158,31.928917899999988,32.429366000000016,32.429366000000016,33.61385439999998,0.0,-1,30.427160490000023,,90,1,0,30,0,2021_Feb_25_1405,testDotsStepRampPilot,2020.2.5,59.91191749888803,
