1.1058 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
23.1373 	INFO 	Loaded monitor calibration from ['2021_02_10 14:14']
25.9101 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([-1., -1., -1.]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000015560347470>, gamma=None, gammaErrorPolicy='raise', kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x00000155602D5CF8>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=1, size=array([1920, 1080]), stencilBits=0, stereo=False, units='deg', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
25.9102 	EXP 	window1: mouseVisible = True
25.9102 	EXP 	window1: recordFrameIntervals = False
26.0780 	EXP 	window1: recordFrameIntervals = True
26.3446 	DEBUG 	Screen (1) actual frame rate measured at 60.01
26.3446 	EXP 	window1: recordFrameIntervals = False
26.5870 	EXP 	Created break_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=1, italic=False, languageStyle='LTR', name='break_text', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text=str(...), units='deg', win=Window(...), wrapWidth=15.0)
26.5904 	EXP 	Created postbreak_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=1, italic=False, languageStyle='LTR', name='postbreak_text', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='Get Ready!', units='deg', win=Window(...), wrapWidth=15.0)
26.5915 	EXP 	Created fixation1 = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=-3.0, fillColor=array([0., 0., 0.]), fillColorSpace='rgb', interpolate=True, lineColor=array([0., 0., 0.]), lineColorSpace='rgb', lineWidth=1, name='fixation1', opacity=0.0, ori=array(0.), pos=array([0., 0.]), size=array([0.8, 0.8]), units='deg', vertices=ndarray(...), win=Window(...), windingRule=None)
26.5955 	EXP 	Created red_dot = Polygon(__class__=<class 'psychopy.visual.polygon.Polygon'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace=None, contrast=1.0, depth=-4.0, fillColor='Red', fillColorSpace='named', fillRGB=array([255.,   0.,   0.]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1., 1., 1.]), lineWidth=0, name='red_dot', opacity=1.0, ori=array(0.), pos=array([0., 0.]), size=array([0.6, 0.6]), units='deg', vertices=ndarray(...), win=Window(...))
26.5965 	EXP 	Created fixation2 = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=-5.0, fillColor=array([0., 0., 0.]), fillColorSpace='rgb', interpolate=True, lineColor=array([0., 0., 0.]), lineColorSpace='rgb', lineWidth=1, name='fixation2', opacity=0.0, ori=array(0.), pos=array([0., 0.]), size=array([0.1, 0.1]), units='deg', vertices=ndarray(...), win=Window(...), windingRule=None)
26.6044 	EXP 	Created pursuit_or_saccade_dot = Polygon(__class__=<class 'psychopy.visual.polygon.Polygon'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace=None, contrast=1.0, depth=-7.0, fillColor='Red', fillColorSpace='named', fillRGB=array([255.,   0.,   0.]), interpolate=True, lineColor=array([0., 0., 0.]), lineColorSpace='rgb', lineRGB=array([0., 0., 0.]), lineWidth=0, name='pursuit_or_saccade_dot', opacity=1.0, ori=array(0.), pos=array([0., 0.]), size=array([0.6, 0.6]), units='deg', vertices=ndarray(...), win=Window(...))
26.6498 	EXP 	Created sequence: random, trialTypes=1, nReps=100, seed=None
26.6503 	EXP 	New trial (rep=0, index=0): None
27.6950 	EXP 	fixation1: autoDraw = True
27.6950 	EXP 	red_dot: autoDraw = True
28.1954 	EXP 	fixation1: autoDraw = False
28.1954 	EXP 	fixation2: autoDraw = True
28.6961 	EXP 	fixation2: autoDraw = False
28.6961 	EXP 	pursuit_or_saccade_dot: autoDraw = True
28.7139 	EXP 	red_dot: autoDraw = False
29.8803 	EXP 	pursuit_or_saccade_dot: autoDraw = False
29.8860 	EXP 	New trial (rep=1, index=0): None
30.8988 	EXP 	break_text: autoDraw = False
30.8988 	EXP 	postbreak_text: autoDraw = False
30.8988 	EXP 	fixation1: autoDraw = False
30.8988 	EXP 	red_dot: autoDraw = False
30.8988 	EXP 	fixation2: autoDraw = False
30.8988 	EXP 	pursuit_or_saccade_dot: autoDraw = False
30.8988 	EXP 	fixation1: autoDraw = True
30.8988 	EXP 	red_dot: autoDraw = True
31.4002 	EXP 	fixation1: autoDraw = False
31.4002 	EXP 	fixation2: autoDraw = True
31.9166 	EXP 	fixation2: autoDraw = False
31.9166 	EXP 	pursuit_or_saccade_dot: autoDraw = True
31.9336 	EXP 	red_dot: autoDraw = False
33.1015 	EXP 	pursuit_or_saccade_dot: autoDraw = False
33.1070 	EXP 	New trial (rep=2, index=0): None
34.1200 	EXP 	break_text: autoDraw = False
34.1200 	EXP 	postbreak_text: autoDraw = False
