trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,break_text.started,break_text.stopped,postbreak_text.started,postbreak_text.stopped,fixation1.started,fixation1.stopped,dots_stimulus.started,dots_stimulus.stopped,blackout.started,blackout.stopped,red_dot.started,red_dot.stopped,fixation2.started,fixation2.stopped,pursuit_or_saccade_dot.started,pursuit_or_saccade_dot.stopped,response.keys,response.rt,response.started,response.stopped,coh,dir,response,correct,pursuit_saccade_isLeft,congruent,pupil_timestamp,psychopy_timestamp,participant,trials_per_condition,pursuit_or_saccade,practice_version,break_every_n_trials,pupil_on,date,expName,psychopyVersion,frameRate,
0,0,0,0,None,None,None,None,51.21914249999827,52.218436199997086,52.218436199997086,52.518723000001046,52.218436199997086,52.518723000001046,51.21914249999827,53.53637300000264,52.518723000001046,53.5200748999996,53.5200748999996,54.67121380000026,left,0.6344647000005352,54.67121380000026,None,0.24,0.0,-1,0,0.0,1,-1,50.18305552000675,,1,1,0,30,0,2021_Feb_10_1448,testDots,2020.2.5,60.35017585969433,
1,0,1,0,None,None,None,None,56.34423809999862,57.356788099998084,57.356788099998084,57.657138000002305,57.356788099998084,57.657138000002305,56.34423809999862,58.67473040000186,57.657138000002305,58.65852319999976,58.65852319999976,59.809204899996985,right,0.2724993999945582,59.809204899996985,None,0.03,0.0,-1,0,1.0,0,-1,55.33816618000128,,1,1,0,30,0,2021_Feb_10_1448,testDots,2020.2.5,60.35017585969433,
2,0,2,0,None,None,None,None,61.12997339999856,62.14499120000255,62.14499120000255,62.445136100002856,62.14499120000255,62.445136100002856,61.12997339999856,63.462849199997436,62.445136100002856,63.44633330000215,63.44633330000215,64.59779400000116,right,0.46028349999687634,64.59779400000116,None,0.48,180.0,-1,0,1.0,1,-1,60.12626358000125,,1,1,0,30,0,2021_Feb_10_1448,testDots,2020.2.5,60.35017585969433,
3,0,3,0,None,None,None,None,66.10214300000371,67.11658799999714,67.11658799999714,67.41664499999752,67.11658799999714,67.41664499999752,66.10214300000371,68.43515080000361,67.41664499999752,68.41771159999917,68.41771159999917,69.56967270000314,left,0.30421689999639057,69.56967270000314,None,0.06,180.0,-1,0,1.0,1,-1,65.09830088000308,,1,1,0,30,0,2021_Feb_10_1448,testDots,2020.2.5,60.35017585969433,
4,0,4,0,None,None,None,None,70.92307750000327,71.9380136999971,71.9380136999971,72.23865410000144,71.9380136999971,72.23865410000144,70.92307750000327,73.25692220000201,72.23865410000144,73.23933950000355,73.23933950000355,74.39038720000099,right,0.5632760000007693,74.39038720000099,None,0.12,0.0,-1,0,0.0,1,-1,69.91935668000224,,1,1,0,30,0,2021_Feb_10_1448,testDots,2020.2.5,60.35017585969433,
