trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,break_text.started,break_text.stopped,postbreak_text.started,postbreak_text.stopped,fixation1.started,fixation1.stopped,red_dot.started,red_dot.stopped,fixation2.started,fixation2.stopped,pursuit_or_saccade_dot.started,pursuit_or_saccade_dot.stopped,pursuit_saccade_isLeft,pupil_timestamp,psychopy_timestamp,participant,trials_per_condition,pursuit_or_saccade,practice_version,break_every_n_trials,pupil_on,date,expName,psychopyVersion,frameRate,
0,0,0,0,None,None,None,None,11.547104200115427,12.049399000126868,11.547104200115427,12.567153699928895,12.049399000126868,12.550565900048241,12.550565900048241,13.701209899969399,1.0,-507543.478609,10.515312610194087,,90,1,0,30,1,2021_Feb_25_1141,testDotsStepRampPilot,2020.2.5,59.90545714318898,
1,0,1,0,None,None,None,None,14.717234200099483,15.219320399919525,14.717234200099483,15.736914000008255,15.219320399919525,15.719761700136587,15.719761700136587,16.871965100057423,0.0,-507540.281424,13.71790092997253,,90,1,0,30,1,2021_Feb_25_1141,testDotsStepRampPilot,2020.2.5,59.90545714318898,
2,0,2,0,None,None,None,None,17.88669029995799,18.389178599929437,17.88669029995799,18.907008399954066,18.389178599929437,18.889598099980503,18.889598099980503,20.040712400106713,1.0,-507537.111457,16.888656130060554,,90,1,0,30,1,2021_Feb_25_1141,testDotsStepRampPilot,2020.2.5,59.90545714318898,
