key,value
Player Software Version,3.0.7
Data Format Version,2.0
Export Date,10.02.2021
Export Time,16:23:30
Frame Index Range:,0 - 82816
Relative Time Range,00:00.000 - 46:15.700
Absolute Time Range,54263.340733 - 57039.040862
